,Country,City,Customer Name,Order ID,Postal Code,Region,Row ID,State,Top N Customer Label,Order Date,Product ID_x,Ship Date,Ship Mode,Discount,Profit,Profit Ratio,Quantity,Sales,Product Name,Segment,Sub-Category,month,Total Sales,Discount Amount
3,United States,Fort Lauderdale,Sean O'Donnell,US-2012-108966,33311.0,South,4,Florida,Other,2014-11-10,FUR-TA-10000577,10/18/2014,Standard Class,0.45,0.0,0.0,5.0,957.5775,Bretford CR4500 Series Slim Rectangular Table,Consumer,Tables,11,1741.0499999999995,783.4724999999997
4,United States,Fort Lauderdale,Sean O'Donnell,US-2012-108966,33311.0,South,5,Florida,Other,2014-11-10,OFF-ST-10000760,10/18/2014,Standard Class,0.2,2.5164,0.1125,2.0,22.368,Eldon Fold 'N Roll Cart System,Consumer,Storage,11,27.959999999999997,5.591999999999999
7,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,8,California,Other,2013-09-06,TEC-PH-10002275,6/14/2013,Standard Class,0.2,90.7152,0.1,6.0,907.152,Mitel 5320 IP Phone VoIP phone,Consumer,Phones,9,1133.94,226.788
8,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,9,California,Other,2013-09-06,OFF-BI-10003910,6/14/2013,Standard Class,0.2,5.7825,0.3125,3.0,18.504,DXL Angle-View Binders with Locking Rings by Samsill,Consumer,Binders,9,23.13,4.625999999999998
10,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,11,California,Other,2013-09-06,FUR-TA-10001539,6/14/2013,Standard Class,0.2,85.3092,0.05,9.0,1706.184,Chromcraft Rectangular Conference Tables,Consumer,Tables,9,2132.73,426.5460000000001
11,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,12,California,Other,2013-09-06,TEC-PH-10002033,6/14/2013,Standard Class,0.2,68.3568,0.075,4.0,911.424,Konftel 250 Conference phone - Charcoal black,Consumer,Phones,9,1139.28,227.856
12,United States,Concord,Andrew Allen,CA-2014-114412,28027.0,South,13,North Carolina,Other,2016-04-15,OFF-PA-10002365,4/20/2016,Standard Class,0.2,5.4432,0.35,3.0,15.552,Xerox 1967,Consumer,Paper,4,19.44,3.887999999999998
13,United States,Seattle,Irene Maddox,CA-2013-161389,98103.0,West,14,Washington,Other,2015-06-12,OFF-BI-10003656,2015-11-12 00:00:00,Standard Class,0.2,132.5922,0.325,3.0,407.976,Fellowes PB200 Plastic Comb Binding Machine,Consumer,Binders,6,509.97,101.99399999999996
14,United States,Fort Worth,Harold Pawlan,US-2012-118983,76106.0,Central,15,Texas,Other,2014-11-22,OFF-AP-10002311,11/26/2014,Standard Class,0.8,0.0,0.0,5.0,68.81,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Home Office,Appliances,11,344.05000000000007,275.24000000000007
15,United States,Fort Worth,Harold Pawlan,US-2012-118983,76106.0,Central,16,Texas,Other,2014-11-22,OFF-BI-10000756,11/26/2014,Standard Class,0.8,0.0,0.0,3.0,2.544,Storex DuraTech Recycled Plastic Frosted Binders,Home Office,Binders,11,12.720000000000002,10.176000000000002
19,United States,San Francisco,Zuschuss Donatelli,CA-2011-143336,94109.0,West,20,California,Other,2013-08-27,TEC-PH-10001949,2013-01-09 00:00:00,Second Class,0.2,16.011,0.075,3.0,213.48,Cisco SPA 501G IP Phone,Consumer,Phones,8,266.84999999999997,53.369999999999976
20,United States,San Francisco,Zuschuss Donatelli,CA-2011-143336,94109.0,West,21,California,Other,2013-08-27,OFF-BI-10002215,2013-01-09 00:00:00,Second Class,0.2,7.384,0.325,4.0,22.72,"Wilson Jones Hanging View Binder, White, 1""",Consumer,Binders,8,28.4,5.68
23,United States,Philadelphia,Sandra Flanagan,US-2014-156909,19140.0,East,24,Pennsylvania,Other,2016-07-16,FUR-CH-10002774,7/18/2016,Second Class,0.3,0.0,0.0,2.0,71.372,"Global Deluxe Stacking Chair, Gray",Consumer,Chairs,7,101.96,30.588000000000008
25,United States,Los Angeles,Eric Hoffmann,CA-2013-121755,90049.0,West,26,California,Other,2015-01-16,OFF-BI-10001634,1/20/2015,Second Class,0.2,4.2224,0.3625,2.0,11.648,Wilson Jones Active Use Binders,Consumer,Binders,1,14.56,2.911999999999999
27,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,28,Pennsylvania,Other,2014-09-17,FUR-BO-10004834,9/21/2014,Standard Class,0.5,0.0,0.0,7.0,3083.43,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Consumer,Bookcases,9,6166.86,3083.43
28,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,29,Pennsylvania,Other,2014-09-17,OFF-BI-10000474,9/21/2014,Standard Class,0.7,0.0,0.0,2.0,9.618,Avery Recycled Flexi-View Covers for Binding Systems,Consumer,Binders,9,32.059999999999995,22.441999999999993
29,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,30,Pennsylvania,Other,2014-09-17,FUR-FU-10004848,9/21/2014,Standard Class,0.2,15.525,0.125,3.0,124.2,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Consumer,Furnishings,9,155.25,31.049999999999997
30,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,31,Pennsylvania,Other,2014-09-17,OFF-EN-10001509,9/21/2014,Standard Class,0.2,1.1016,0.3375,2.0,3.264,Poly String Tie Envelopes,Consumer,Envelopes,9,4.079999999999999,0.8159999999999994
31,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,32,Pennsylvania,Other,2014-09-17,OFF-AR-10004042,9/21/2014,Standard Class,0.2,9.7092,0.1125,6.0,86.304,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Consumer,Art,9,107.88,21.575999999999993
32,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,33,Pennsylvania,Other,2014-09-17,OFF-BI-10001525,9/21/2014,Standard Class,0.7,0.0,0.0,6.0,6.858,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Consumer,Binders,9,22.859999999999996,16.001999999999995
33,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,34,Pennsylvania,Other,2014-09-17,OFF-AR-10001683,9/21/2014,Standard Class,0.2,3.546,0.225,2.0,15.76,Lumber Crayons,Consumer,Art,9,19.7,3.939999999999999
34,United States,Houston,Matt Abelman,CA-2014-107727,77095.0,Central,35,Texas,Other,2016-10-19,OFF-PA-10000249,10/23/2016,Second Class,0.2,9.9468,0.3375,3.0,29.472,Easy-staple paper,Home Office,Paper,10,36.84,7.367999999999995
35,United States,Richardson,Gene Hale,CA-2013-117590,75080.0,Central,36,Texas,Other,2015-09-12,TEC-PH-10004977,2015-11-12 00:00:00,First Class,0.2,123.4737,0.1125,7.0,1097.544,GE 30524EE4,Corporate,Phones,9,1371.93,274.38599999999997
36,United States,Richardson,Gene Hale,CA-2013-117590,75080.0,Central,37,Texas,Other,2015-09-12,FUR-FU-10003664,2015-11-12 00:00:00,First Class,0.6,0.0,0.0,5.0,190.92,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Corporate,Furnishings,9,477.2999999999999,286.38
37,United States,Houston,Steve Nguyen,CA-2012-117415,77041.0,Central,38,Texas,Other,2014-12-27,OFF-EN-10002986,12/31/2014,Standard Class,0.2,35.415,0.3125,9.0,113.328,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Home Office,Envelopes,12,141.66,28.331999999999994
38,United States,Houston,Steve Nguyen,CA-2012-117415,77041.0,Central,39,Texas,Other,2014-12-27,FUR-BO-10002545,12/31/2014,Standard Class,0.32,0.0,0.0,3.0,532.3992,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Home Office,Bookcases,12,782.94,250.5408000000001
39,United States,Houston,Steve Nguyen,CA-2012-117415,77041.0,Central,40,Texas,Other,2014-12-27,FUR-CH-10004218,12/31/2014,Standard Class,0.3,0.0,0.0,3.0,212.058,"Global Fabric Manager's Chair, Dark Gray",Home Office,Chairs,12,302.94,90.882
40,United States,Houston,Steve Nguyen,CA-2012-117415,77041.0,Central,41,Texas,Other,2014-12-27,TEC-PH-10000486,12/31/2014,Standard Class,0.2,41.7564,0.1125,4.0,371.168,Plantronics HL10 Handset Lifter,Home Office,Phones,12,463.96,92.79199999999996
41,United States,Naperville,Linda Cazamias,CA-2014-120999,60540.0,Central,42,Illinois,Other,2016-10-09,TEC-PH-10004093,9/15/2016,Standard Class,0.2,16.5564,0.1125,4.0,147.168,Panasonic Kx-TS550,Corporate,Phones,10,183.96,36.792
43,United States,Melbourne,Erin Smith,CA-2014-139619,32935.0,South,44,Florida,Other,2016-09-19,OFF-ST-10003282,9/23/2016,Standard Class,0.2,9.5616,0.1,2.0,95.616,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Corporate,Storage,9,119.52,23.903999999999996
57,United States,Troy,Ted Butterfield,CA-2013-111682,12180.0,East,58,New York,Other,2015-06-18,FUR-CH-10003968,6/19/2015,First Class,0.1,7.098,0.022222222,5.0,319.41,Novimex Turbo Task Chair,Consumer,Chairs,6,354.90000000000003,35.49000000000001
60,United States,Troy,Ted Butterfield,CA-2013-111682,12180.0,East,61,New York,Other,2015-06-18,OFF-BI-10001460,6/19/2015,First Class,0.2,16.362,0.3375,4.0,48.48,Plastic Binding Combs,Consumer,Binders,6,60.599999999999994,12.119999999999996
63,United States,Los Angeles,Kunst Miller,CA-2012-135545,90004.0,West,64,California,Other,2014-11-24,OFF-BI-10001078,11/30/2014,Standard Class,0.2,9.3612,0.3625,6.0,25.824,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Consumer,Binders,11,32.28,6.4559999999999995
66,United States,Chicago,Paul Stevenson,US-2012-164175,60610.0,Central,67,Illinois,Other,2014-04-30,FUR-CH-10001146,2014-05-05 00:00:00,Standard Class,0.3,0.0,0.0,5.0,213.115,"Global Value Mid-Back Manager's Chair, Gray",Home Office,Chairs,4,304.45000000000005,91.33500000000004
67,United States,Gilbert,Brendan Sweed,CA-2011-106376,85234.0,West,68,Arizona,Other,2013-05-12,OFF-AR-10002671,2013-10-12 00:00:00,Standard Class,0.2,111.3024,0.1,8.0,1113.024,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Corporate,Art,5,1391.2799999999995,278.25599999999986
68,United States,Gilbert,Brendan Sweed,CA-2011-106376,85234.0,West,69,Arizona,Other,2013-05-12,TEC-PH-10002726,2013-10-12 00:00:00,Standard Class,0.2,62.988,0.375,4.0,167.968,netTALK DUO VoIP Telephone Service,Corporate,Phones,5,209.96,41.99199999999999
69,United States,Springfield,Karen Daniels,CA-2013-119823,22153.0,South,70,Virginia,Other,2015-05-06,OFF-PA-10000482,2015-07-06 00:00:00,First Class,0.15,35.6636,0.47,2.0,75.88,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Consumer,Paper,5,89.27058823529411,13.390588235294118
70,United States,New York City,Henry MacAllister,CA-2013-106075,10009.0,East,71,New York,Other,2015-09-19,OFF-BI-10004654,9/24/2015,Standard Class,0.2,1.731,0.375,1.0,4.616,Avery Binding System Hidden Tab Executive Style Index Sets,Consumer,Binders,9,5.77,1.154
72,United States,Memphis,Joel Eaton,US-2012-134026,38109.0,South,73,Tennessee,Other,2014-04-26,FUR-CH-10000513,2014-02-05 00:00:00,Standard Class,0.2,0.0,0.0,8.0,831.936,High-Back Leather Manager's Chair,Consumer,Chairs,4,1039.92,207.98400000000004
73,United States,Memphis,Joel Eaton,US-2012-134026,38109.0,South,74,Tennessee,Other,2014-04-26,FUR-FU-10003708,2014-02-05 00:00:00,Standard Class,0.2,1.213,0.0125,2.0,97.04,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Consumer,Furnishings,4,121.3,24.25999999999999
