,Country,City,Customer Name,Order ID,Postal Code,Region,Row ID,State,Top N Customer Label,Order Date,Product ID_x,Ship Date,Ship Mode,Discount,Profit,Profit Ratio,Quantity,Sales,Product Name,Segment,Sub-Category,month,Total Sales,Discount Amount
0,United States,Henderson,Claire Gute,CA-2013-152156,42420.0,South,1,Kentucky,Other,2015-09-11,FUR-BO-10001798,2015-12-11 00:00:00,Second Class,0.0,41.9136,0.16,2.0,261.96,Bush Somerset Collection Bookcase,Consumer,Bookcases,9,261.96,0.0
1,United States,Henderson,Claire Gute,CA-2013-152156,42420.0,South,2,Kentucky,Other,2015-09-11,FUR-CH-10000454,2015-12-11 00:00:00,Second Class,0.0,219.582,0.3,3.0,731.94,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Consumer,Chairs,9,731.94,0.0
2,United States,Los Angeles,Darrin Van Huff,CA-2013-138688,90036.0,West,3,California,Other,2015-06-13,OFF-LA-10000240,6/17/2015,Second Class,0.0,6.8714,0.47,2.0,14.62,Self-Adhesive Address Labels for Typewriters by Universal,Corporate,Labels,6,14.62,0.0
3,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,6,California,Other,2013-09-06,FUR-FU-10001487,6/14/2013,Standard Class,0.0,14.1694,0.29,7.0,48.86,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Consumer,Furnishings,9,48.86,0.0
4,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,7,California,Other,2013-09-06,OFF-AR-10002833,6/14/2013,Standard Class,0.0,1.9656,0.27,4.0,7.28,Newell 322,Consumer,Art,9,7.28,0.0
5,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,10,California,Other,2013-09-06,OFF-AP-10002892,6/14/2013,Standard Class,0.0,34.47,0.3,5.0,114.9,Belkin F5C206VTEL 6 Outlet Surge,Consumer,Appliances,9,114.9,0.0
6,United States,Madison,Pete Kriz,CA-2011-105893,53711.0,Central,17,Wisconsin,Other,2013-11-11,OFF-ST-10004186,11/18/2013,Standard Class,0.0,13.3176,0.02,6.0,665.88,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Consumer,Storage,11,665.88,0.0
7,United States,West Jordan,Alejandro Grove,CA-2011-167164,84084.0,West,18,Utah,Other,2013-05-13,OFF-ST-10000107,5/15/2013,Second Class,0.0,9.99,0.18,2.0,55.5,Fellowes Super Stor/Drawer,Consumer,Storage,5,55.5,0.0
8,United States,San Francisco,Zuschuss Donatelli,CA-2011-143336,94109.0,West,19,California,Other,2013-08-27,OFF-AR-10003056,2013-01-09 00:00:00,Second Class,0.0,2.4824,0.29,2.0,8.56,Newell 341,Consumer,Art,8,8.56,0.0
9,United States,Fremont,Ken Black,CA-2013-137330,68025.0,Central,22,Nebraska,Other,2015-10-12,OFF-AR-10000246,12/14/2015,Standard Class,0.0,5.0596,0.26,7.0,19.46,Newell 318,Corporate,Art,10,19.46,0.0
