,Country,City,Customer Name,Order ID,Postal Code,Region,Row ID,State,Top N Customer Label,Total Number of Customer_x,Order ID.1,Order Date,Product ID_x,Ship Date,Ship Mode,Discount,Profit,Profit Ratio,Quantity,Sales,Sales Per Customer,Total Number of Customer_y,Product ID_y,Product Name,Segment,Sub-Category,Number of Records
0,United States,Henderson,Claire Gute,CA-2013-152156,42420.0,South,1,Kentucky,Other,1.0,CA-2013-152156,2015-09-11 00:00:00,FUR-BO-10001798,2015-12-11 00:00:00,Second Class,0.0,41.9136,0.16,2.0,261.96,261.96,1,FUR-BO-10001798,Bush Somerset Collection Bookcase,Consumer,Bookcases,1.0
1,United States,Henderson,Claire Gute,CA-2013-152156,42420.0,South,2,Kentucky,Other,1.0,CA-2013-152156,2015-09-11 00:00:00,FUR-CH-10000454,2015-12-11 00:00:00,Second Class,0.0,219.582,0.3,3.0,731.94,731.94,1,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Consumer,Chairs,1.0
2,United States,Los Angeles,Darrin Van Huff,CA-2013-138688,90036.0,West,3,California,Other,1.0,CA-2013-138688,6/13/2015,OFF-LA-10000240,6/17/2015,Second Class,0.0,6.8714,0.47,2.0,14.62,14.62,1,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Corporate,Labels,1.0
3,United States,Fort Lauderdale,Sean O'Donnell,US-2012-108966,33311.0,South,4,Florida,Other,1.0,US-2012-108966,2014-11-10 00:00:00,FUR-TA-10000577,10/18/2014,Standard Class,0.45,-383.031,-0.4,5.0,957.5775,957.5775,1,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Consumer,Tables,1.0
4,United States,Fort Lauderdale,Sean O'Donnell,US-2012-108966,33311.0,South,5,Florida,Other,1.0,US-2012-108966,2014-11-10 00:00:00,OFF-ST-10000760,10/18/2014,Standard Class,0.2,2.5164,0.1125,2.0,22.368,22.368,1,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Consumer,Storage,1.0
5,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,6,California,Other,1.0,CA-2011-115812,2013-09-06 00:00:00,FUR-FU-10001487,6/14/2013,Standard Class,0.0,14.1694,0.29,7.0,48.86,48.86,1,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Consumer,Furnishings,1.0
6,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,7,California,Other,1.0,CA-2011-115812,2013-09-06 00:00:00,OFF-AR-10002833,6/14/2013,Standard Class,0.0,1.9656,0.27,4.0,7.28,7.28,1,OFF-AR-10002833,Newell 322,Consumer,Art,1.0
7,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,8,California,Other,1.0,CA-2011-115812,2013-09-06 00:00:00,TEC-PH-10002275,6/14/2013,Standard Class,0.2,90.7152,0.1,6.0,907.152,907.152,1,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Consumer,Phones,1.0
8,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,9,California,Other,1.0,CA-2011-115812,2013-09-06 00:00:00,OFF-BI-10003910,6/14/2013,Standard Class,0.2,5.7825,0.3125,3.0,18.504,18.504,1,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Consumer,Binders,1.0
9,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,10,California,Other,1.0,CA-2011-115812,2013-09-06 00:00:00,OFF-AP-10002892,6/14/2013,Standard Class,0.0,34.47,0.3,5.0,114.9,114.9,1,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Consumer,Appliances,1.0
10,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,11,California,Other,1.0,CA-2011-115812,2013-09-06 00:00:00,FUR-TA-10001539,6/14/2013,Standard Class,0.2,85.3092,0.05,9.0,1706.184,1706.184,1,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Consumer,Tables,1.0
11,United States,Los Angeles,Brosina Hoffman,CA-2011-115812,90032.0,West,12,California,Other,1.0,CA-2011-115812,2013-09-06 00:00:00,TEC-PH-10002033,6/14/2013,Standard Class,0.2,68.3568,0.075,4.0,911.424,911.424,1,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Consumer,Phones,1.0
12,United States,Concord,Andrew Allen,CA-2014-114412,28027.0,South,13,North Carolina,Other,1.0,CA-2014-114412,4/15/2016,OFF-PA-10002365,4/20/2016,Standard Class,0.2,5.4432,0.35,3.0,15.552,15.552,1,OFF-PA-10002365,Xerox 1967,Consumer,Paper,1.0
13,United States,Seattle,Irene Maddox,CA-2013-161389,98103.0,West,14,Washington,Other,1.0,CA-2013-161389,2015-06-12 00:00:00,OFF-BI-10003656,2015-11-12 00:00:00,Standard Class,0.2,132.5922,0.325,3.0,407.976,407.976,1,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Consumer,Binders,1.0
14,United States,Fort Worth,Harold Pawlan,US-2012-118983,76106.0,Central,15,Texas,Other,1.0,US-2012-118983,11/22/2014,OFF-AP-10002311,11/26/2014,Standard Class,0.8,-123.858,-1.8,5.0,68.81,68.81,1,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Home Office,Appliances,1.0
